职位标题,薪资,薪资单位,结算方式,公司名称,发布时间,职位详情,职位链接
兼职试药员或试药代表,面议,,,深圳市汉桥文化传播有限公司,04-25,无法获取职位详情,https://sz.1010jz.com/qita/a1799452.html
龙华大浪周结打包工17,17,小时,周结,深圳市臻德科技有限公司,04-25,"龙华大浪羊台山附近（龙胜地铁站附近）电商物流打包工（手工活），明天开始，每小时17元，9:00-20:30，每天10个小时，一天170，工资周结（周六）下班全结，不压工资），可长期做，不要左撇子，有意向的随时联系我，或推荐朋友，罗先生微信同步(没有吃住）
禁止转载

联系我时请说明在1010兼职网看到的
联系人：罗先生
公司地址：深圳市龙岗区塘坑路龙塘商务中心 [交通地图]
手机：158 8947 ****点击查看完整电话
微信：15889478534
提示：请不要交钱给任何单位",https://sz.1010jz.com/jiazheng/a1775290.html
餐饮兼职（包吃）,20,小时,月结,南京大牌档美食文化有限公司,04-25,"工作内容：一些简单、安全，一学就会的工作，比如：传菜、擦桌子、档口打粥、盛菜、打包原料等；

招聘要求：18周岁，男女不限，吃苦耐劳，有餐饮兼职经验者优先。

小时工20/小时，包吃，一日三餐：10:00\16:00\21:30，薪资月结。

◆ 门店地址
四家门店均供选择：
深圳罗湖区南京大牌档kkmall店 
深圳龙华区南京大牌档壹方天地店
深圳宝安区南京大牌档海雅缤纷城店
深圳福田区南京大牌档卓越中心店
禁止转载

联系我时请说明在1010兼职网看到的
联系人：孙钦梅
公司地址：南京市鼓楼区鼓楼街88号611室 [交通地图]
手机：176 6063 ****点击查看完整电话
微信：17660636319
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1801085.html
光明蒋石，日结，可干一天，包吃住,160,天,日结,优学教育（深圳）有限公司,04-24,"光明蒋石-纯日结，最少干一天，一个小时都不压

日结，当天下班洗手，就发工资，可以只做一天，也可以连续做

白班14元一小时免费包吃两餐，提供餐具，提供宿舍
自己在外面吃也要10元一餐，免费包吃两餐，也相当于140一天了，
白班早上8.30上班，晚上8.30下班，中午下午各休息一个小时吃饭免费，有提供一次性餐具，

夜班16元一小时不包吃，
夜班晚上8.30上班，早上7.30下班，晚上休息一小时吃饭，工资第二天中午12点之前发

每天上班10-11小时，长期有活儿干，可以天天来，也可以兼职只做一天

白夜班可自选，日结也招，提前报名天天有名额，包吃，做一天也可提供宿舍

主要工作就是，打包等工作，有站有坐，干活自由，穿自己衣服，可带手机，车间没空调，只有风扇

赶紧报名联系，人走账清    日结当天下班洗手就发工资
要住宿也可以安排临时宿舍，自己承担5元一晚费用

月综合工资4500元  
要去的朋友可以直接联系，找我发定位，飞机勿扰
禁止转载

联系我时请说明在1010兼职网看到的
联系人：冯川
公司地址：观澜大水坑，章阁，附近富士康园区 [交通地图]
手机：133 8030 ****点击查看完整电话
微信：13380309361
提示：请不要交钱给任何单位",https://sz.1010jz.com/jiazheng/a1764683.html
福田区香蜜湖深业中城24号招固定洗碗员,20,小时,日结,深圳市如安劳务派遣有限公司,04-24,"福田区香蜜湖深业中城24号招固定洗碗员
1:工期10天左右，4月24号-5月2号左右，上班时间7.30-13.30,7.20之前到店。
2:工资20块/小时，每天下班日结。
3:要求有健康证，身体健康，做事勤快听安排。
4:报名方式，微信报名，报名时请把名字电话身份证号码发给我。
地址：福田区香蜜湖街道红荔西路8059号深业中城7号楼1层
禁止转载

联系我时请说明在1010兼职网看到的
联系人：陈立虎
公司地址：景田梅富村54栋 [交通地图]
手机：153 0277 ****点击查看完整电话
微信：15302775369
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1797419.html
兼职卖香水,6000,月,月结,深圳市丰润农产品商贸有限公司,04-24,"兼职卖香水，要求女生，要可以做长期的，不要短期兼职，有一定的销售经验。工作时间11-10点，
180底薪+5%提成
禁止转载

联系我时请说明在1010兼职网看到的
联系人：黄小姐
公司地址：坂田 [交通地图]
手机：158 8939 ****点击查看完整电话
微信：15889391361
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/cuxiao/a1782639.html
龙华区办公室外呼兼职,140,天,日结,深圳市星火国际教育文化传播有限公司,04-23,"地址1：龙华汇海广场
地址2：观澜电子市场旁
龙华，观澜办公室外呼  每天6小时    底薪140+提成   女士优先。老手，一天轻松入300。善于沟通，表达。  （教育培训机构）
禁止转载

联系我时请说明在1010兼职网看到的
联系人：黎老师
公司地址：龙华区汇海广场C座705室 [交通地图]
手机：185 7076 ****点击查看完整电话
微信：18570762661
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1795355.html
需要加微信人员,150,天,日结,上海纳榕文化传播有限公司,04-23,"会议地点：深圳机场希尔顿逸林酒店
时间：4月26日-27日
需要女生加微信，有经验靠谱，能加微信的来！底薪130+饭补20
0-20个，无提成。
21-100个，1元/个提成。
100个以上，1.5元/个提成。
多劳多得，没经验，不能加微信的勿扰！
禁止转载

联系我时请说明在1010兼职网看到的
联系人：王飞
公司地址：上海市青浦 [交通地图]
手机：138 1881 ****点击查看完整电话
微信：13818814589
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1801041.html
日结包吃住 松岗,16,小时,日结,深圳市成之恒科技有限公司,04-23,"松岗红星电子烟 8:00-22:00 压3天后日结16/小时 包吃 住宿10/天
禁止转载

联系我时请说明在1010兼职网看到的
联系人：黄先生
公司地址：南湾街道 [交通地图]
手机：147 7604 ****点击查看完整电话
微信：14776049506
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1797781.html
全职普工，交五险一金,4500,月,月结,深圳宇叠智能科技有限公司,04-23,"工作内容：
1、负责根据提供的样品，摆放电路板，操作设备热压（操作简单，有培训），手工对位贴胶条，传感器拉伸激活（类似于布料）。
2、保证电路板摆放和胶条贴附精度，保证传感器充分激活，保证产品表面整洁。
3、协助产品外壳粘接，贴标签，打紧固螺丝，有焊接经验者优先。
4、核对装箱清单，协助产品打包装箱。
5、协助完成其它小批量样品制作任务。
6、工作轻松，办公室作业，五天八小时，购买五险一金。
任职要求：
1、具备良好的手工技能，注重细节，有耐心。
2、服从管理，有团队意识，责任心强。
3、沟通能力强，愿意学习新知识，不断提升自我。
4、服从公司生产计划的时间调剂。

工作时间：上午9:00-12:00，下午1：30-6：30，中午午休1.5小时，周末双休
工作地址：深圳市宝安区西乡街道航城智慧科技园B栋5层

禁止转载

联系我时请说明在1010兼职网看到的
联系人：何女士
公司地址：深圳市宝安区西乡街道航城智慧科技园B栋516 [交通地图]
手机：136 8180 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1800898.html
龙岗龙城广场圆通快递日结,18,小时,日结,深圳睿普科技有限公司,04-23,"深圳快递日结，20-50岁，天天有班。男女都要，18块一个小时，中途自离考勤作废，不记工时。保险一天扣2块。上班一定打保险卡，


5、龙岗龙城广场地铁站附近圆通兼职，男女都要， 日结17块一小时，20：00-6；00、、14号线嶂背地铁站B出口导航到定位、

兼职要求：带身份证或照片，不要拖鞋、凉鞋，短裤超过膝盖可以。
报名；请发名字电话年龄备注哪个兼职到手机微信
禁止转载

联系我时请说明在1010兼职网看到的
联系人：袁生
公司地址：福田区上步工业区503栋 [交通地图]
手机：185 2081 ****点击查看完整电话
微信：if2066
提示：请不要交钱给任何单位",https://sz.1010jz.com/jiazheng/a1797849.html
龙岗平湖中通快递日结,17,小时,日结,深圳睿普科技有限公司,04-23,"深圳快递日结，19-52岁，天天有班。男女都要，中途自离考勤作废，不记工时。保险一天扣3块。上班一定打保险卡，



1龙岗平湖中通兼职，日结17块一小时，男女都要，20:00-5:00晚上6点半世纪工业区公交站集合。




兼职要求：带身份证或照片，不要拖鞋、凉鞋，短裤超过膝盖可以。报名请发名字电话年龄备注哪个兼职到手机微信
禁止转载

联系我时请说明在1010兼职网看到的
联系人：袁生
公司地址：福田区上步工业区503栋 [交通地图]
手机：185 2081 ****点击查看完整电话
微信：if2066
提示：请不要交钱给任何单位",https://sz.1010jz.com/jiazheng/a1797859.html
周一至周五，放学校门口扫码,170,天,周结,深圳乐博乐博教育科技有限公司,04-22,"周一至周五学校门口扫码
底薪60(任务15个名单)
提成每个名单8元
工作内容，主动让家长扫码预约免费体验课(有送小玩具)

例如:扫15个名单，
60底薪+120提成=180

禁止转载

联系我时请说明在1010兼职网看到的
联系人：李老师
公司地址：深圳市 南山区 铜鼓路 城市山谷 奥凯迪教育城 [交通地图]
手机：131 4343 ****点击查看完整电话
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1798720.html
19.9小课包，乐高机器人编程,90,个,次日结,深圳乐博乐博教育科技有限公司,04-22,"【地面推广】19.9元体验课
提成:19.9+补70元/单
【工作内容】地面推广，邀请3-12岁家长了解课程，使家长扫码填写资料预约19.9元体验课。(有赠送玩具吸引小朋友辅助扫码)
【地点】罗湖（太安地铁站）
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深圳市 南山区 铜鼓路 城市山谷 奥凯迪教育城 [交通地图]
手机：131 4343 ****点击查看完整电话
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1800979.html
坪山保税区 长白班日结日结,17,小时,日结,深圳美帮信息咨询有限公司,04-22," 坪山耳机厂 日结。日结 
招聘长白班 不用面试直接上班。

员工17=16+1元/小时，要求7天全勤，工期7天以上，可长期做

做满3天后，第四天开始每天下班发150，剩余工资月结。
年龄18～52岁，政策放宽，能干活统统接收
不体检，不面试，包进厂
普通工衣+全坐班
主要生产蓝牙耳机，数据线打包装，贴标签，放说明书，折盒子，简单手工活，

【员工单价】:17=16+1元/小时，要求7天全勤，工期7天以上，可长期做

【招聘要求】：18-52岁，政策放宽，能好好上班都接收。
【吃住细节】：不包吃，提供宿舍，住宿+水电=12块每天，三天后每天下班发薪

注意：进入车间需要过安检门，手机，钱包，香烟，打火机不能带进车间，有柜子放，车间为无铁车间，建议穿运动裤，拖鞋可上班。
禁止转载

联系我时请说明在1010兼职网看到的
联系人：蒲先生
公司地址：福田保税区四号门公交站 [交通地图]
手机：135 3014 ****点击查看完整电话
微信：13530143532
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1795961.html
连锁雪糕店招聘服务员（壹方天地C区店）,4300,月,月结,深圳新语餐饮管理有限公司,04-22,"男女不限，年龄18-35岁（兼职需16岁以上），初中以上学历，工作热情，有进取心，品貌端正，有服务行业经验者优先；
兼职：20.2元22.2元/小时，可周末兼职。
全职：工资4300-5000元，根据门店业绩可享受季度奖与年终奖；公司为全体全职员工购买社保；入职满一年即可享受五天带薪年假和工龄奖金；晋升空间大，机会多，平均每天工作8个钟，一周休息一天。
有意者可致电或加微信质询
工作地址：深圳市龙华新区龙华街道龙景社区龙华大道3639号壹方天地C区B1-007B
（喜乳酪 HEYYO）
禁止转载

联系我时请说明在1010兼职网看到的
联系人：蔡主管
公司地址：罗湖区人民南路2010号深圳发展中心35楼 [交通地图]
手机：158 1644 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1688062.html
雪糕店招聘服务员（欢乐颂）,4300,月,月结,深圳新语餐饮管理有限公司,04-22,"男女不限，年龄18-35岁（兼职需16岁以上），初中以上学历，工作热情，有进取心，品貌端正，有服务行业经验者优先；
兼职：20.2元22.2元/小时，可周末兼职。
全职：工资4300-5000元，根据门店业绩可享受季度奖与年终奖；公司为全体全职员工购买社保；入职满一年即可享受五天带薪年假和工龄奖金；晋升空间大，机会多，平均每天工作8个钟，一周休息一天。
有意者可致电或加微信咨询！！
工作地址：深圳市南山区南新路3030号欢乐颂购物中心一层L165号铺位
（喜乳酪 HEYYO）
禁止转载

联系我时请说明在1010兼职网看到的
联系人：李店长
公司地址：罗湖区人民南路2010号深圳发展中心35楼 [交通地图]
手机：135 1011 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1688633.html
连锁雪糕店招服务员-壹方天地C区店,4300,月,月结,深圳新语餐饮管理有限公司,04-22,"男女不限，年龄18-35岁（兼职需16岁以上），初中以上学历，工作热情，有进取心，品貌端正，有服务行业经验者优先；
兼职：20.2元22.2元/小时，可周末兼职。
全职：工资4300-5000元，根据门店业绩可享受季度奖与年终奖；公司为全体全职员工购买社保；入职满一年即可享受五天带薪年假和工龄奖金；晋升空间大，机会多，平均每天工作8个钟，一周休息一天。
有意者可致电或加微信咨询！！
工作地址：深圳市龙华新区龙华街道龙景社区龙华大道3639号壹方天地C区B1-007B
（喜乳酪 HEYYO）
禁止转载

联系我时请说明在1010兼职网看到的
联系人：蔡主管
公司地址：罗湖区人民南路2010号深圳发展中心35楼 [交通地图]
手机：158 1644 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1692636.html
连锁雪糕店招店员（欢乐颂店）,4300,月,月结,深圳新语餐饮管理有限公司,04-22,"男女不限，年龄18-35岁（兼职需16岁以上），初中以上学历，工作热情，有进取心，品貌端正，有服务行业经验者优先；
兼职：20.2元22.2元/小时，可周末兼职。
全职：工资4300-5000元，根据门店业绩可享受季度奖与年终奖；公司为全体全职员工购买社保；入职满一年即可享受五天带薪年假和工龄奖金；晋升空间大，机会多，平均每天工作8个钟，一周休息一天。

工作地址：深圳市南山区南新路3030号欢乐颂购物中心一层L165号铺位（喜乳酪 HEYYO）
有意者可致电或加微信质询！
禁止转载

联系我时请说明在1010兼职网看到的
联系人：李店长
公司地址：罗湖区人民南路2010号深圳发展中心35楼 [交通地图]
手机：135 1011 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1688067.html
机场日结稳定有住宿,20,小时,周结,深圳市成之恒科技有限公司,04-22,"机场顺丰
20:00-7:30 23:00-7:30 
8:00-16:30 8:00-20:00 日结18-20/小时
住宿15/天
禁止转载

联系我时请说明在1010兼职网看到的
联系人：黄先生
公司地址：南湾街道 [交通地图]
手机：147 7604 ****点击查看完整电话
微信：14776049506
提示：请不要交钱给任何单位",https://sz.1010jz.com/jiazheng/a1797780.html
发传单＋卖体验小课包,100,天,日结,深圳市墨之坊文化艺术有限公司,04-22,"每天3个小时（下午15:00一18:00）
一个小时25元
在学校门口发传单，卖小课包99元3次
小课包直接一个提成80元
禁止转载

联系我时请说明在1010兼职网看到的
联系人：欢欢老师
公司地址：西乡地铁口附近 [交通地图]
手机：139 2467 ****点击查看完整电话
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1801058.html
仓库打包员,22,小时,日结,深圳中科诺创智科技有限公司,04-22,"协助仓库质检，打包产品, 封过批量FBA的货物的箱子， 封箱速度快
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：龙岗区坂田街道大发埔社区大发路27号龙璧工业区4栋401 [交通地图]
手机：139 3112 ****点击查看完整电话
微信：13931125116
提示：请不要交钱给任何单位",https://sz.1010jz.com/jiazheng/a1800277.html
急，长安塑料厂要普工2名，只压5天工资,198,天,月结,深圳草田营销管理有限公司,04-22,"长白班，
东莞长安塑料小厂急招2个临时工，不体检，不看纹身，简单面试
18元每小时一天180到198包吃住，现在来了4月底，发放4月份工资，只压5天工资

工期1个月以上


微信备注临时工
禁止转载

联系我时请说明在1010兼职网看到的
联系人：罗生
公司地址：深圳市龙岗区南湾街道布沙路荔景商务A栋404 [交通地图]
手机：150 1374 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1800973.html
诚聘课后作业辅导教师,150,天,月结,深圳市优的教育有限公司,04-21,"岗位职责:辅导小学语文、数学、英语课后作业

任职资格:大专及以上学历，熟悉小学课程知识，语言表达能力强，师范专业或大学英语四级以上人员优先。

工作时间:周一至周五下午4点~8点半（寒暑假除外）
禁止转载

联系我时请说明在1010兼职网看到的
联系人：郑老师
公司地址：福滨新村15栋一楼 [交通地图]
手机：136 8238 ****点击查看完整电话
电话：0755-83337683
提示：请不要交钱给任何单位",https://sz.1010jz.com/laoshi/a1594095.html
深圳罗湖维莱悦酒店招熟手客房服务员,17,个,完工结,深圳市如安劳务派遣有限公司,04-21,"深圳罗湖维莱悦酒店招熟手客房服务员
工期：4月26号-5月5号
时间：8.00-16.30
1：熟手客房服务员，有健康证，年龄20-55岁。
2：17元/间，每天保底15间，工资工期结束以后一起结。
3：地址罗湖火车站旁，9号线1号线皆可到。
禁止转载

联系我时请说明在1010兼职网看到的
联系人：陈立虎
公司地址：景田梅富村54栋 [交通地图]
手机：153 0277 ****点击查看完整电话
微信：15302775369
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1800195.html
主播/新媒体运营,300,天,月结,深圳市富润天成投资有限公司,04-21,"岗位职责:
1. 执行直播任务，与观众互动，提供高质量的直播内容
2. 维护直播间秩序，确保直播环境的良好氛围

任职要求：
1. 具备出色的表达能力和互动技巧，能够吸引并维持观众兴趣
2. 对直播内容有创造性思维，能够及时调整策略以提升观看体验
3. 具有良好的团队合作精神，能够与团队成员有效沟通协作
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：安联大厦B区 [交通地图]
手机：134 1502 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/wenmi/a1801040.html
仓库工作！工资日结！日结,270,天,日结,深圳市新昊洋电子有限公司,04-21,"仓库小件物品，摆放、分类，分拣，打包，整理整齐，管理自由轻松，现场听从领导工作安排
禁止转载

联系我时请说明在1010兼职网看到的
联系人：深圳直聘
公司地址：深圳市宝安区福永街道凤凰社区兴业一路46号B栋404 [交通地图]
微信：ipp88789
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1787093.html
4月22号深圳湾万丽酒店大量招服务员,17,小时,日结,深圳大森林环境管理有限公司,04-20,"万丽酒店大量需要日结工
加微留意朋友圈招聘信息
需要领队多名，有经验者联系
深圳湾万丽酒店
西餐厅服务员
早班:08.00-17.00
中班:11.00-22.30
晚班:14.30－22.30
可连上两个班 13小时
宴会厅
早班:08.00－19.00
晚班:14.30－23.00
大夜:23.00－08.00

班次看酒店需求。适合哪个就联系
生意比较好
年龄:18－58岁
工作内容:上菜，倒水，收台，摆台
第一次来上班请带身份证。

地址:在高新南站A出口

穿着:黑色鞋子，黑色裤子，上衣酒店提供。
地铁:9号线【高新南站A出口】
公交:90路或235路【科技南路站】
注意:
新人一定要带身份证
尽量微信联系，不要打电话，谢谢

禁止转载

联系我时请说明在1010兼职网看到的
联系人：默默
公司地址：深圳市龙岗区布吉街道大芬社区龙岗2454号 [交通地图]
微信：13040883508
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1786169.html
龙华日结服务员,18,小时,日结,深圳白羽管理服务有限公司,04-19,"日结服务员18/小时
本周六日红山地铁站附近招多名服务员
上班时间11-16点
要求：18-45岁，服务员传菜员穿黑裤子黑鞋。（穿的邋遢，打扮夸张的，有纹身的，不爱洗澡有异味的，指甲头发太长的，不能服从安排的不要报名

禁止转载

联系我时请说明在1010兼职网看到的
联系人：翁经理
公司地址：深圳市沙井街道沙头社区康民路166-198号 [交通地图]
手机：192 0057 ****点击查看完整电话
微信：19200578690
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1801039.html
空调清洗兼职有培训高收入,50,小时,周结,珠海市篷大帅文化传播有限公司,04-19,"兼职招募区域：深圳，广州
每个城市需要5人。
薪资：大概是50元-70元时，目前出工一次工资在150-400元之间。每周三之前结算上一周的工资。一般月收入增加2000-4000元。
工作内容：根据订单安排，优先安排附近的订单。
           
要求：面像端正，无染发纹身，诚实守信，吃苦耐劳，服从安排，服从安排，服从安排(这几点很重要)！
         学习动手能力不能太差。
         学历大专或以上最好。
         沟通墨迹的勿扰。

备注：这是个需要技术和经验的工作，培训费200元从工资里面扣或者自己找个人带带你学习或者去培训机构学习。包回本，不回本我赔付。需要签合同。
         可以把这个当副业 。

说明：空调清洗培训学徒1-2天，看个人学习能力。

禁止转载

联系我时请说明在1010兼职网看到的
联系人：王先生
公司地址：珠海市香洲区拱北粤华路418号1栋4单元403房 [交通地图]
手机：132 4209 ****点击查看完整电话
微信：dashuaijz10
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1785377.html
4.20号需要一名焊锡工,300,天,日结,深圳市漫威机器人科技有限公司,04-18,"明天下午来民治焊19个线路板，1小时内完工，轻松简单，需要自带工具，小线路板需要小焊锡工具
禁止转载

联系我时请说明在1010兼职网看到的
联系人：曾先生
公司地址：龙华新区大浪 [交通地图]
手机：166 7518 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1801027.html
罗湖 梅林 急招艺术机构传单地推/派发员,30,小时,日结,深圳竺韵文化艺术有限公司,04-18,"工作时间：大致周三到周日下午4-6点
工作形式：拿机构的礼物让加意向客户加我们。成交39.9小课包。
要求：有机构派单宣传经验。
地址：罗湖翠竹 梅林一村 竹子林 南山南油均可。

薪资：30元/小时 推39.9元小课包都给 转大课包6%提点
禁止转载

联系我时请说明在1010兼职网看到的
联系人：微微老师
公司地址：深圳市罗湖区翠竹路逸翠园（二期）裙楼301A [交通地图]
手机：188 9977 ****点击查看完整电话
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1800854.html
长期招聘培训机构派单员  工资日结,30,小时,日结,深圳竺韵文化艺术有限公司,04-18,"工作时间：大致周三到周日下午4-6点
工作形式：拿机构的礼物让加意向客户加我们。成交39.9小课包。
要求：有机构派单宣传经验。
地址：罗湖翠竹 梅林一村 竹子林 南山南油均可。

薪资：30元/小时 推39.9元小课包都给 转大课包6%提点
禁止转载

联系我时请说明在1010兼职网看到的
联系人：微微老师
公司地址：深圳市罗湖区翠竹路逸翠园（二期）裙楼301A [交通地图]
手机：188 9977 ****点击查看完整电话
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1801025.html
急招平湖日结送菜，包吃包住、,140,天,日结,广东德成人力资源服务有限公司,04-18,"职责:分菜、称菜、搬菜、削皮、搞卫生等，做事很简单

工作时间:晚班，晚上12点开始上班，早上8/9点左右结束，中间有坐车时间，实际干活5/6小时左右，坐车可以睡觉、打游戏等。

要求:18-49岁，无大纹身，无染发，无案底，有本人身份证和实名微信
日结140一天，包吃住，

注意:
1、保险1元/天，水电费2元/天，好做可以长期做;
2、一天四顿饭，早餐、中餐、晚餐和宵夜;
3、领失业救济金的不要报名!要依法申报个税!
禁止转载

联系我时请说明在1010兼职网看到的
联系人：宋主管
公司地址：玫瑰轩北座601 [交通地图]
手机：153 6100 ****点击查看完整电话
微信：15361002831
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1796074.html
龙华清湖日结跟车送菜，包吃住、,140,天,日结,广东德成人力资源服务有限公司,04-18,"现龙华清湖急招跟车送菜，包吃住，晚班，晚上12点整开始上班，主要工作是分菜、称菜、搬菜、削皮、厨房简单打杂等。

时间跨度8/9小时左右，中途坐车。实际干活5/6小时左右，其余时间可坐车睡觉、打游戏等。
要求:年龄18-48岁，无大纹身，无染发，无案底。

待遇：日结，140一天，包吃住。做一天也可以，每天发薪，好做可以一直做。

其他：
保险1天一元，水电费2元一天。领失业救济金的不要报名！需要报个税！
禁止转载

联系我时请说明在1010兼职网看到的
联系人：宋主管
公司地址：玫瑰轩北座601 [交通地图]
手机：153 6100 ****点击查看完整电话
微信：15361002831
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1797617.html
甘坑地铁站餐厅服务员日结,18,小时,日结,深圳市玉青餐饮有限公司,04-17,"固定服务员（18/小时，天天有班，月休四天）
日结服务员（17/小时，周六周日有班）
日结洗碗工（20/小时，有大型洗碗机）
有兴趣可以添加微信！
待遇：包工作餐，提供住宿（固定的提供）
要求：自备黑色西裤，黑色皮鞋，
要求：能上早晚班，住附近的优先！
A班：7点—22点30（两头班，中途休息3个小时）
B班：9点—22点30（两头班，中途休息3个小时）
C班：11点—22点30（两头班，中途休息3个小时）
地址：甘坑地铁站B出口
禁止转载

联系我时请说明在1010兼职网看到的
联系人：啊东
公司地址：横岗镇大康社区龙发工业区 [交通地图]
手机：138 2352 ****点击查看完整电话
微信：13823527040
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1767221.html
松岗，福永，沙井，光明兼职,140,天,日结,深圳市星火国际教育文化传播有限公司,04-17,"日招聘兼职（长期需要）
工作内容：教培机构电话邀约家长到店或加 V
工资待遇：140+提成
工作时间：下午两点半-九点（工作 6 小时）
工作地址1：宝安松岗山美新村大厦（松岗汽车站旁）
工作地址2: 光明万悦山（光明大街地铁站，蓝鲸世界附近）
工作地址3:福永万福广场旁（福永桥底旁）
工作地址 4:沙井地铁站附近
工作地址 5:光明益田假日府邸（红花山地铁站附近
工作要求：女生，沟通能力强，能接受打电话
工资日结，办公室工作模式轻松
禁止转载

联系我时请说明在1010兼职网看到的
联系人：王老师
公司地址：龙华区汇海广场C座705室 [交通地图]
手机：137 1477 ****点击查看完整电话
微信：pwz52000
提示：请不要交钱给任何单位",https://sz.1010jz.com/wenmi/a1793957.html
因公司发展需求，现招聘以下精英:  招聘,18,天,日结,深圳洁净有害生物防冶有限公司,04-17,"因公司发展需求，现招聘以下精英:

招聘销售员5名，限女性，有销售经验优先！工资可日结！

工资150/餐费30/加提成。上班时间早上10:00到晚上9:30
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：龙岗 [交通地图]
手机：157 1203 ****点击查看完整电话
微信：15712036942
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/cuxiao/a1792145.html
市场推广（发传单）,150,天,周结,深圳市南山区瑞思培训中心,04-17,"工作内容
1.派发机构资料，让家长关注校区
2.性格开朗，善于沟通
薪资完成任务一天150-300没问题
位置：南山区宝能allcity南区二层SL201-2
禁止转载

联系我时请说明在1010兼职网看到的
联系人：李先生
公司地址：深圳市南山区中心路2233号宝能all city购物中心南区F2 [交通地图]
手机：189 3865 ****点击查看完整电话
微信：jeremy_pe
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1800600.html
派发礼品,150,天,周结,深圳市南山区瑞思培训中心,04-17,"周末/周中扫码兼职
时间：10:00-7：00
地址：南山海月a口
薪资：150-300之间，周结，有任务量，多劳多得！
工作内容：与孩子互动，扫码登记，送礼品，填写小名生日。
备注：需要18周岁，有经验优先，只要2人。
（飞机，大小姐，少爷！勿扰）
微信联系
禁止转载

联系我时请说明在1010兼职网看到的
联系人：李先生
公司地址：深圳市南山区中心路2233号宝能all city购物中心南区F2 [交通地图]
手机：189 3865 ****点击查看完整电话
微信：jeremy_pe
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1800904.html
龙岗坂田周末长期2天兼职,130,天,周结,深圳市耐造体育有限公司,04-17,"工作简单易上手，主要负责收银之类工作，本公司主要经营是室内篮球馆带空调那种。年龄30岁以下，请注意！！
禁止转载

联系我时请说明在1010兼职网看到的
联系人：李先生
公司地址：龙岗区坂田街道南坑社区麒麟路富奇智慧园 [交通地图]
手机：136 5232 ****点击查看完整电话
微信：13652321024
提示：请不要交钱给任何单位",https://sz.1010jz.com/dianyuan/a1800910.html
